name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,is_explicit,ranking
Timeless (with Playboi Carti),0.769,0.722,11,-5.485,0,0.0507,0.0584,2.56e-06,0.111,0.57,119.973,4,256000,1,1
5 TO 10,0.72,0.617,5,-5.16,1,0.0358,0.35,0.0,0.148,0.387,128.055,4,193627,1,2
INSIDE (FEAT. TRAVIS SCOTT),0.774,0.497,1,-5.515,0,0.0369,0.215,0.0,0.0778,0.692,120.84,4,250200,1,3
MAFIA,0.855,0.492,0,-7.578,0,0.0483,0.0775,6.71e-06,0.111,0.385,109.975,4,240000,1,4
Uuugly,0.49,0.257,1,-12.192,1,0.0384,0.824,0.0,0.112,0.0711,100.769,3,115920,0,5
Devil's Advocate,0.662,0.681,11,-8.152,0,0.0315,0.0321,0.139,0.508,0.864,98.004,4,186307,0,6
Petra,0.69,0.702,10,-7.507,0,0.031,0.29,0.00302,0.11,0.29,120.012,4,212000,0,7
NEW DROP,0.757,0.628,4,-6.715,0,0.101,0.189,0.0209,0.221,0.321,119.98,4,217333,1,8
We Still Don't Trust You,0.717,0.586,0,-6.15,0,0.0273,0.0314,0.26,0.426,0.429,109.993,4,252920,1,9
CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),0.682,0.764,1,-6.314,1,0.0327,0.000779,0.0089,0.373,0.248,125.018,4,258843,1,10
one of wun,0.915,0.453,10,-4.589,0,0.27,0.0872,0.000163,0.104,0.287,139.943,4,144000,1,11
BIRDS OF A FEATHER,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4,210373,0,12
Escape From LA,0.372,0.525,5,-8.996,0,0.0592,0.0457,0.00313,0.199,0.171,144.95,4,355960,1,13
GLOCK,0.61,0.619,4,-6.928,1,0.0613,0.0997,0.0,0.444,0.277,76.006,4,228560,1,14
Embarrassed (feat. Travis Scott),0.848,0.506,4,-5.105,0,0.0336,0.376,0.0,0.102,0.593,115.994,4,192693,1,15
HOT UPTOWN (feat. Drake),0.765,0.741,5,-7.361,0,0.274,0.338,8.87e-05,0.132,0.68,128.044,4,150747,0,16
H e r O l d F r i e n d s,0.645,0.569,4,-7.176,0,0.0568,0.353,0.0,0.123,0.0749,105.012,4,256117,1,17
M a k e I t T o T h e M o r n i n g,0.677,0.622,4,-5.901,0,0.0287,0.0831,0.00749,0.154,0.0903,122.738,4,168453,1,18
